1; 0.117827; 0.981022;
2; 0.116498; 0.981145;
3; 0.117121; 0.981025;
4; 0.117855; 0.981026;
5; 0.117733; 0.981021;
6; 0.118142; 0.981011;
7; 0.115285; 0.981276;
8; 0.118527; 0.981000;
9; 0.117886; 0.981018;
10; 0.117755; 0.981035;
11; 0.117257; 0.981032;
12; 0.113706; 0.981524;
13; 0.117361; 0.981038;
14; 0.117818; 0.981022;
15; 0.117803; 0.981019;
16; 0.114152; 0.981496;
17; 0.116717; 0.981381;
18; 0.116117; 0.981159;
19; 0.118441; 0.981002;
20; 0.114256; 0.981436;
21; 0.117732; 0.981021;
22; 0.114846; 0.981512;
23; 0.117993; 0.981042;
24; 0.118090; 0.981013;
25; 0.114019; 0.981417;
26; 0.117730; 0.981024;
27; 0.118097; 0.981096;
28; 0.115303; 0.981168;
29; 0.117295; 0.981035;
30; 0.117993; 0.981025;
31; 0.115385; 0.981145;
32; 0.118370; 0.981009;
33; 0.118483; 0.981006;
34; 0.115638; 0.981480;
35; 0.114166; 0.981474;
36; 0.118216; 0.981001;
37; 0.115437; 0.981487;
38; 0.117953; 0.981021;
39; 0.118438; 0.981002;
40; 0.113003; 0.981219;
41; 0.118286; 0.981003;
42; 0.118581; 0.980996;
43; 0.116388; 0.981416;
44; 0.117191; 0.981038;
45; 0.114755; 0.981448;
46; 0.117995; 0.981021;
47; 0.116864; 0.981396;
48; 0.153244; 0.982686;
49; 0.115943; 0.981159;
50; 0.118002; 0.981018;
