1; 0.123760; 0.130147; 0.123760; 0.130147
2; 0.100710; 0.116089; 0.078084; 0.098571
3; 0.048061; 0.060351; 0.044398; 0.055930
4; 0.023624; 0.027472; 0.023624; 0.027459
5; 0.005915; 0.007964; 0.004756; 0.006267
6; 0.004543; 0.006376; 0.003846; 0.004137
7; 0.004286; 0.006373; 0.003412; 0.004681
8; 0.004250; 0.006330; 0.003095; 0.004288
9; 0.003816; 0.005399; 0.002077; 0.002976
10; 0.004299; 0.006287; 0.002833; 0.003902
11; 0.003893; 0.005494; 0.002034; 0.002860
12; 0.004002; 0.005820; 0.002789; 0.003997
13; 0.004243; 0.006066; 0.002161; 0.003210
14; 0.003809; 0.005173; 0.002384; 0.003325
15; 0.004078; 0.005630; 0.002843; 0.003672
